label,threshold,row_type,n_runs,called_reads,non_signal_positive,non_signal_positive_pct,max_run_read_share,median_run_non_signal_positive_pct
All selected,0,threshold,20,573675,18426,3.2119231272061706,0.08715736261820717,1.6689175225615862
">=1,000 reads",1000,threshold,17,572959,18412,3.2134934611377077,0.08726627908803247,1.7145656433703462
">=2,000 reads",2000,threshold,15,569646,18114,3.1798696032272673,0.08777381040154762,1.6232694017528262
">=5,000 reads",5000,threshold,15,569646,18114,3.1798696032272673,0.08777381040154762,1.6232694017528262
">=10,000 reads",10000,threshold,13,553853,17589,3.175752410838255,0.09027666185792982,1.322
">=32,000 reads",32000,threshold,12,522211,16819,3.2207287858739093,0.09574673838735684,1.137
">=2,000 reads, no ER01",2000,diagnostic,14,537646,8534,1.5872897780323856,0.0929979949632286,1.4726347008764131
